protocol,chain,market,name,inputToken,timestamp,blockNumber,totalValueLockedUSD,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,dailySupplySideRevenueUSD,dailyBorrowUSD,exchangeRate,rewardToken_1,rewardToken_2,rewardTokenEmissionsUSD_1,rewardTokenEmissionsUSD_2
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642894570,14058423,1321554627.348626775103209483962945,103986.2436231714191293359985813914,11554.02706924126879214844428682126,115540.2706924126879214844428682126,103986.2436231714191293359985813914,13527162.54894376396262553680260859,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,30065.90566215334089721370223125679,15032.95283107667044860685111562839
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1642978334,14064696,1335999430.75455275984042543255205,88944.49318379257585608188311467017,9882.721464865841761786875901630019,98827.21464865841761786875901630019,88944.49318379257585608188311467017,846117.8957152768808661987700996526,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,31018.73637784919465351286751312416,15509.36818892459732675643375656208
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643067340,14071346,1383985754.204493845791007646994053,96897.17072394145254190394463452871,10766.35230266016139354488273716986,107663.5230266016139354488273716986,96897.17072394145254190394463452871,18621528.58601511912266264202612102,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,31507.94668126272356333040358164982,15753.97334063136178166520179082491
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643151489,14077621,1401203264.727938989871068859485084,86552.08325088651283178039474533258,9616.89813898739031464226608281473,96168.9813898739031464226608281473,86552.08325088651283178039474533258,2505129.700979953674850084599219117,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,30992.73576435575845401727696432201,15496.367882177879227008638482161
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643236615,14083974,1416580800.173662780422917897834056,87503.1524260555456993881046733293,9722.572491783949522154233852592142,97225.72491783949522154233852592142,87503.1524260555456993881046733293,5470017.55572990731469693458023308,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,30048.58052384989296765536375741436,15024.29026192494648382768187870718
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643324175,14090526,1400444385.628760363457505017746706,89876.61070191465360026641439680611,9986.290077990517066696268266311794,99862.90077990517066696268266311794,89876.61070191465360026641439680611,2065369.113790303146239453666268049,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,29488.12311828445007529321924095559,14744.06155914222503764660962047779
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643409698,14096932,1400479283.868405142361905292390073,87427.01300072338878660711121219561,9714.112555635932087400790134688402,97141.12555635932087400790134688402,87427.01300072338878660711121219561,322617.9813337119486827802341915356,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,31316.61487830564538768459262066854,15658.30743915282269384229631033427
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643500335,14103725,1392080486.873154110200186483742333,92503.06585464261787259851454696913,10278.1184282936242080665016163299,102781.184282936242080665016163299,92503.06585464261787259851454696913,3779865.064107911370856189075391467,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,32034.15373118751811899757070751569,16017.07686559375905949878535375785
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643584620,14110100,1339424088.473487584744558538802938,86591.53948079839833715389522986957,9621.282164533155370794877247763284,96212.82164533155370794877247763284,86591.53948079839833715389522986957,4981765.78402246652058193850362642,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,31121.08170848344078336873845573711,15560.54085424172039168436922786856
aave-v2,mainnet,0x6b175474e89094c44da98b954eedeac495271d0f,Aave interest bearing DAI,DAI,1643673027,14116723,1354348107.22042758319564331772327,86776.79049481970609332870887123624,9641.865610535522899258745430137359,96418.65610535522899258745430137359,86776.79049481970609332870887123624,370122.4853539444854046277130768283,1,0x4da27a545c0c5b758a6ba100e3a049001de870f5,0x4da27a545c0c5b758a6ba100e3a049001de870f5,33068.15506647141979916826772259126,16534.07753323570989958413386129563
